resource_name,source_files,english_value,japanese_value,market_adaptation
l10n_add_notes_here_e22fea650a,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Add notes here...,メモを入力...,no
l10n_add_part_83760b6974,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Add Part,部品を追加,yes
l10n_add_photos_be917560d1,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Add Photos,写真を追加,no
l10n_add_reminder_9d1c0460dd,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Add Reminder,リマインダーを追加,no
l10n_add_sale_b337755e1f,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Add Sale,販売を追加,no
l10n_add_user_feature_coming_soon_5ed892a941,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/AddExpenseSheet.kt,Add User feature coming soon,ユーザー追加機能は近日対応予定です,no
l10n_add_vehicle_c1f3a9f514,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,Add Vehicle,車両を追加,no
l10n_additional_notes_d2291b5d1a,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleAddEditScreen.kt,Additional notes...,追加メモ...,no
l10n_align_inventory_carrying_cost_with_ios_ana_bc068ebc37,resource/manual,Align inventory carrying cost with iOS analytics,在庫保有コストをiOS分析と合わせる,yes
l10n_all_6a72085653,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadManagementScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAlertsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAnalyticsScreen.kt,All,すべて,no
l10n_all_categories_1fd266c217,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,All Categories,すべてのカテゴリ,no
l10n_all_employees_127ec08a02,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseScreen.kt,All Employees,すべての従業員,no
l10n_all_good_4441c53766,resource/manual,All Good,問題なし,no
l10n_all_types_eb672cb3ba,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseScreen.kt,All Types,すべての種類,no
l10n_all_vehicles_dd9eb32418,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseScreen.kt,All Vehicles,すべての車両,no
l10n_amount_abd20c69e9,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/AddExpenseSheet.kt,AMOUNT,金額,no
l10n_amount_s_ec8b61efc7,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt,Amount (%s),金額（%s）,no
l10n_annual_percentage_rate_for_holding_cost_ca_a7c28951ee,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,Annual percentage rate for holding cost calculation,保管コスト計算に使用する年率,no
l10n_annual_rate_81552973a1,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,Annual Rate (%),年率 (%),no
l10n_annual_rate_a438a59151,resource/manual,Annual Rate,年率,no
l10n_archive_export_failed_d6b43c3fa9,resource/manual,Archive export failed,アーカイブのエクスポートに失敗しました,no
l10n_asking_price_b892b74008,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/FinancialSummaryCard.kt,Asking Price,希望販売価格,no
l10n_at_least_6_characters_d5af567482,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/auth/PasswordResetScreen.kt,At least 6 characters,6文字以上,no
l10n_attach_receipt_0bfc326bcd,resource/manual,Attach receipt,領収書を添付,no
l10n_automatically_calculated_from_annual_rate_6ff256bfdb,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,Automatically calculated from annual rate,年率から自動計算されます,no
l10n_available_vehicles_480bae92bc,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/sale/AddSaleScreen.kt,Available Vehicles:,選択可能な車両:,no
l10n_back_b52b36b726,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadFunnelScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadManagementScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAlertsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAnalyticsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/search/GlobalSearchScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/BackupCenterScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/ChangePasswordScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/DataHealthScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/MonthlyReportSettingsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/RegionLanguageSettingsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/UserGuideScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Back,戻る,no
l10n_backup_export_d8c6bdd3ee,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/BackupCenterScreen.kt,Backup &amp; Export,バックアップとエクスポート,no
l10n_balance_s_75b5f54c82,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt,Balance (%s),残高（%s）,no
l10n_bank_9e89988cc3,resource/manual,Bank,銀行,no
l10n_based_on_aging_and_market_conditions_consi_7876b380bd,resource/manual,"Based on aging and market conditions, consider a price reduction to accelerate sale.",在庫日数と市場状況を踏まえ、販売促進のため値下げを検討してください。,yes
l10n_batch_label_fbb29dce48,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Batch Label,ロット名,no
l10n_brief_summary_of_the_interaction_e8e6ea860a,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/AddInteractionSheet.kt,Brief summary of the interaction,対応内容の簡単な要約,no
l10n_build_json_archive_02746b36ea,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/BackupCenterScreen.kt,Build JSON Archive,JSONアーカイブを作成,no
l10n_business_name_a8e3901b09,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/dashboard/DashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/SettingsScreen.kt,Business name,事業名,no
l10n_buyer_details_dba47552c8,resource/manual,Buyer Details,購入者詳細,no
l10n_buyer_name_2b4f2a6012,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/sale/AddSaleScreen.kt,Buyer Name,購入者名,no
l10n_buyer_phone_7c5502c5b3,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/sale/AddSaleScreen.kt,Buyer Phone,購入者電話番号,no
l10n_calculate_holding_costs_ed57a45e72,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,Calculate holding costs,保管コストを計算,no
l10n_call_291a0a58df,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientListScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/LeadCard.kt,Call,電話,no
l10n_cancel_77dfd2135f,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/auth/PasswordResetScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/FinancialSummaryCard.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/AddInteractionSheet.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/dashboard/DashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/AddExpenseSheet.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/BackupCenterScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/SettingsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleAddEditScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,Cancel,キャンセル,no
l10n_car_bc47a3dce0,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,Car,車両,no
l10n_car_dealer_tracker_7c5908a418,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/BackupCenterViewModel.kt,Car Dealer Tracker,Car Dealer Tracker,no
l10n_cash_758ec54e43,resource/manual,Cash,現金,no
l10n_cash_bank_and_account_movement_5c935878ac,resource/manual,"Cash, bank and account movement",現金・銀行・口座の入出金,no
l10n_category_a3c686e711,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Category,カテゴリ,no
l10n_change_64fbd995d3,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/sale/AddSaleScreen.kt,Change,変更,no
l10n_change_password_49289db43e,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/ChangePasswordScreen.kt,Change Password,パスワードを変更,no
l10n_change_photo_6080b454e5,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleAddEditScreen.kt,Change Photo,写真を変更,no
l10n_change_role_7b55cbe933,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt,Change Role,権限を変更,no
l10n_choose_file_54a2a8411d,resource/manual,Choose File,ファイルを選択,no
l10n_clean_up_duplicates_7fc0497c55,resource/manual,Clean Up Duplicates,重複を整理,no
l10n_clear_719ea396ad,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadFunnelScreen.kt,Clear,クリア,no
l10n_clear_all_c043160a89,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadManagementScreen.kt,Clear all,すべてクリア,no
l10n_clear_filters_412226715c,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadManagementScreen.kt,Clear filters,フィルタをクリア,no
l10n_clear_filters_to_see_all_leads_adc98b15db,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadManagementScreen.kt,Clear filters to see all leads,すべてのリードを表示するにはフィルタを解除してください,no
l10n_client_follow_ups_debts_and_inventory_remi_8d8f44f8a4,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/SettingsScreen.kt,"Client follow-ups, debts and inventory reminders",顧客フォロー、債務、在庫リマインダー,yes
l10n_client_interactions_6b224458e6,resource/manual,Client Interactions,顧客対応履歴,no
l10n_client_name_130c62f72d,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Client Name,顧客名,no
l10n_client_reminder_9373ed22b0,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/notification/NotificationHelper.kt,Client Reminder,顧客リマインダー,no
l10n_clients_28e22fe3dd,resource/manual,Clients,顧客,no
l10n_close_bbfa773e5a,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/AddInteractionSheet.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/AddExpenseSheet.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseDetailBottomSheet.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartDetailBottomSheet.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/sale/SalesScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/PaywallScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/SettingsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Close,閉じる,no
l10n_code_adac69379a,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Code,コード,no
l10n_complete_sale_ebdd278082,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/sale/AddSaleScreen.kt,Complete Sale,販売を完了,no
l10n_confirm_04a212215e,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt,Confirm,確認,no
l10n_confirm_password_c2d404cb7b,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/auth/PasswordResetScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/ChangePasswordScreen.kt,Confirm Password,パスワードを確認,no
l10n_contact_developer_846bcff57b,resource/manual,Contact Developer,開発者に連絡,no
l10n_contact_info_3ec80d39d2,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,CONTACT INFO,連絡先情報,no
l10n_contact_info_e873f4db37,resource/manual,Contact Info,連絡先情報,no
l10n_continue_2e02623966,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/PaywallScreen.kt,Continue,続行,no
l10n_copied_to_clipboard_0e73834873,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt,Copied to clipboard,クリップボードにコピーしました,no
l10n_copy_code_6c10692719,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/SettingsScreen.kt,Copy code,コードをコピー,no
l10n_cost_75fde9afb2,resource/manual,COST,原価,no
l10n_could_not_attach_receipt_002c812c35,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/AddExpenseSheet.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseDetailBottomSheet.kt,Could not attach receipt,領収書を添付できませんでした,no
l10n_could_not_open_receipt_3a52256bcf,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseViewModel.kt,Could not open receipt,領収書を開けませんでした,no
l10n_cover_8b656a5dd9,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Cover,カバー,no
l10n_create_business_b992caf4a9,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/dashboard/DashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/SettingsScreen.kt,Create Business,事業を作成,no
l10n_create_part_sale_eeef3a4213,resource/manual,Create Part Sale,部品販売を作成,yes
l10n_create_sale_ee71e2b920,resource/manual,Create Sale,販売を作成,no
l10n_create_your_account_4046b58182,resource/manual,Create your account,アカウントを作成,no
l10n_critical_04b7b26c8c,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAlertsScreen.kt,Critical,重要,no
l10n_crm_summary_394916621f,resource/manual,CRM Summary,CRMサマリー,no
l10n_currency_region_c9a9ff05aa,resource/manual,Currency / Region,通貨 / 地域,no
l10n_custom_range_report_46cf03bd77,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/BackupCenterScreen.kt,Custom Range Report,期間指定レポート,no
l10n_d_exp_e293e81168,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,%d exp,経費%d件,no
l10n_daily_rate_fe3d54900d,resource/manual,Daily Rate,日次率,no
l10n_dashboard_d87f47b47e,resource/manual,Dashboard,ダッシュボード,no
l10n_data_health_bc65a39db5,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/dashboard/DashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/DataHealthScreen.kt,Data Health,データ健全性,no
l10n_date_eb9a4bc1c0,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/AddExpenseSheet.kt,Date,日付,no
l10n_days_high_to_low_e01ed449bc,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,Days: High to Low,日数: 多い順,no
l10n_days_in_inventory_75eebd53e7,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Days in Inventory:,在庫日数:,yes
l10n_days_low_to_high_f66275dbea,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,Days: Low to High,日数: 少ない順,no
l10n_deal_history_144ed39d2f,resource/manual,Deal History,商談履歴,no
l10n_deal_value_s_0dbb3f7861,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/AddInteractionSheet.kt,Deal Value (%s),商談金額（%s）,no
l10n_dealer_pro_c1e6ec9ef0,resource/manual,Dealer Pro,Dealer Pro,no
l10n_debt_payments_c2265e641f,resource/manual,Debt Payments,債務支払い,no
l10n_debts_787aab25f6,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/sale/SalesScreen.kt,Debts,債務,no
l10n_delete_account_data_252712421d,resource/manual,Delete Account &amp; Data,アカウントとデータを削除,no
l10n_delete_f6fdbe48dc,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/sale/SalesScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,Delete,削除,no
l10n_delete_interaction_72592ef009,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/InteractionItem.kt,Delete interaction,対応履歴を削除,no
l10n_delete_photo_fc700472e1,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Delete photo,写真を削除,no
l10n_delete_records_20ec0fc73b,resource/manual,Delete Records,レコード削除,no
l10n_delete_reminder_18cf079683,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Delete reminder,リマインダーを削除,no
l10n_delete_vehicle_2d8f468e29,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Delete Vehicle?,車両を削除しますか？,no
l10n_delete_vehicle_35f19fe601,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Delete Vehicle,車両を削除,no
l10n_deposit_e7b0b317a6,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt,Deposit,入金,no
l10n_detailed_notes_about_the_interaction_76cd9c1921,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/AddInteractionSheet.kt,Detailed notes about the interaction...,対応内容の詳細メモ...,no
l10n_dismiss_70afe9eff3,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/inventory/InventoryAlertBanner.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadManagementScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/dashboard/DashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAlertsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/MonthlyReportSettingsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt,Dismiss,閉じる,no
l10n_done_e9b450d14b,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAnalyticsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/RegionLanguageSettingsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt,Done,完了,no
l10n_due_s_be08cc1da0,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Due: %s,期限: %s,no
l10n_duplicates_sync_state_and_diagnostics_80e028bf24,resource/manual,"Duplicates, sync state and diagnostics",重複、同期状態、診断,no
