key_or_source_string,source_files,english_value,russian_value,japanese_value,market_adaptation
Account Transactions,iOS Car Dealer Tracker/Ezcar24Business/Views/EditAccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Account Transactions,Транзакции по счету,口座取引,yes
Account Type,iOS Car Dealer Tracker/Ezcar24Business/Views/AddFinancialAccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/EditAccountView.swift,Account Type,Тип счета,口座種別,yes
Actions,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportSettingsView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/iPadRootView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/PartsDashboardView.swift,Actions,Действия,操作,no
Add,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/PersistenceController.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddFinancialAccountView.swift,Add,Добавить,追加,no
Add %@,catalog/manual,Add %@,Добавить %@,%@を追加,no
Add Custom Account,catalog/manual,Add Custom Account,Добавить свой счет,カスタム口座を追加,yes
Add New User,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Add New User,Добавить пользователя,新規ユーザーを追加,no
Add User,iOS Car Dealer Tracker/Ezcar24Business/Views/UserManagementView.swift,Add User,Добавить пользователя,ユーザーを追加,no
Add a deposit or withdrawal to track cash flow.,iOS Car Dealer Tracker/Ezcar24Business/Views/EditAccountView.swift,Add a deposit or withdrawal to track cash flow.,"Добавьте пополнение или списание, чтобы отслеживать денежный поток.",入金または出金を追加して資金の動きを管理します。,yes
Add a note (what was this expense for?),iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseDetailSheet.swift,Add a note (what was this expense for?),Добавьте примечание (на что был этот расход?),メモを追加（何の経費ですか？）,yes
Add the first interaction to build history.,iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift,Add the first interaction to build history.,"Добавьте первое взаимодействие, чтобы создать историю.",最初の対応履歴を追加します。,no
Add users to track who made each expense,iOS Car Dealer Tracker/Ezcar24Business/Views/UserManagementView.swift,Add users to track who made each expense,"Добавьте пользователей, чтобы отслеживать, кто сделал каждый расход",経費を入力した担当者を追跡するため、ユーザーを追加します,yes
Add your contact details to share listings professionally and receive more leads.,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Add your contact details to share listings professionally and receive more leads.,"Добавьте контакты, чтобы профессионально делиться объявлениями и получать больше лидов.",連絡先を登録すると、在庫情報を業務向けに共有し、問い合わせを受けやすくなります。,no
Added: %@,catalog/manual,Added: %@,Добавлено: %@,追加日: %@,no
Admin fee,iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift,Admin fee,Административный сбор,事務手数料,no
All categories,catalog/manual,All categories,Все категории,すべてのカテゴリ,no
All employees,catalog/manual,All employees,Все сотрудники,すべての担当者,no
All owner and admin members with a resolved email address.,iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportSettingsView.swift,All owner and admin members with a resolved email address.,Все владельцы и администраторы с подтвержденным email.,メールアドレスが確認できるオーナーと管理者全員。,no
Already have an account?,iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift,Already have an account?,Уже есть аккаунт?,すでにアカウントをお持ちですか？,yes
Amount,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Debt+Extensions.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/AccountTransaction+Extensions.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,Amount,Сумма,金額,no
Amount ↑,iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,Amount ↑,Сумма ↑,金額 ↑,no
Amount ↓,iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,Amount ↓,Сумма ↓,金額 ↓,no
An invite code will be generated. The member can enter it on the login screen.,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,An invite code will be generated. The member can enter it on the login screen.,Будет создан код приглашения. Участник сможет ввести его на экране входа.,招待コードが生成されます。メンバーはログイン画面で入力できます。,no
Analytics,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartsInventoryViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Inventory/InventoryAnalyticsView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Analytics/AnalyticsHubView.swift,Analytics,Аналитика,分析,no
"App will use system language if available, or fallback to English",iOS Car Dealer Tracker/Ezcar24Business/Views/RegionSelectionView.swift,"App will use system language if available, or fallback to English","Приложение использует системный язык, если доступен, иначе английский.",利用可能な場合は端末の言語を使用し、未対応の場合は英語に戻ります,no
Are you sure you want to cancel the export? Progress will be lost.,catalog/manual,Are you sure you want to cancel the export? Progress will be lost.,Отменить экспорт? Прогресс будет потерян.,エクスポートをキャンセルしますか？進行中の内容は失われます。,no
Assign User,iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,Assign User,Назначить пользователя,担当者を割り当て,no
Assign Vehicle,iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,Assign Vehicle,Назначить автомобиль,車両を割り当て,yes
At least 6 characters,iOS Car Dealer Tracker/Ezcar24Business/Auth/PasswordResetView.swift,At least 6 characters,Минимум 6 символов,6文字以上,no
Attach report link,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Attach report link,Прикрепить ссылку на отчет,レポートリンクを添付,no
Automatically uploads to Supabase cloud storage (bucket: dealer-backups).,iOS Car Dealer Tracker/Ezcar24Business/Views/BackupCenterView.swift,Automatically uploads to Supabase cloud storage (bucket: dealer-backups).,Автоматически загружает в облачное хранилище Supabase (bucket: dealer-backups).,Supabaseクラウドストレージ（dealer-backupsバケット）へ自動アップロードします。,yes
Available: %@,catalog/manual,Available: %@,Доступно: %@,利用可能: %@,no
Average Price,catalog/manual,Average Price,Средняя цена,平均価格,no
BEST,catalog/manual,BEST,ЛУЧШЕЕ,おすすめ,no
BODY,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ColorTheme.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/LocalNotificationManager.swift,Body,Кузов,本文,no
Backup & Export,iOS Car Dealer Tracker/Ezcar24Business/Views/BackupCenterView.swift,Backup & Export,Резервное копирование и экспорт,バックアップとエクスポート,no
Balance,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/FinancialAccountsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift,Balance,Баланс,残高,no
Bank Transfer,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtPaymentView.swift,Bank Transfer,Банковский перевод,銀行振込,yes
Build JSON Archive,iOS Car Dealer Tracker/Ezcar24Business/Views/BackupCenterView.swift,Build JSON Archive,Создать JSON-архив,JSONアーカイブを作成,no
Business,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/UserViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/FinancialAccountsViewModel.swift,Business,Бизнес,事業,no
Business Name,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Business Name,Название бизнеса,事業名,no
Business Region,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Business Region,Регион бизнеса,事業地域,no
Buyer Name,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Buyer Name,Имя покупателя,購入者名,no
Buyer Phone,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Buyer Phone,Телефон покупателя,購入者電話番号,no
Buyer name,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Buyer name,Имя покупателя,購入者名,no
Buyer phone,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Buyer phone,Телефон покупателя,購入者電話番号,no
CHOOSE YOUR PLAN,iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift,CHOOSE YOUR PLAN,ВЫБЕРИТЕ ПЛАН,プランを選択,no
Camry,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddVehicleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Components/Inventory/InventoryAlertCard.swift,Camry,Camry,Camry,no
Cancel,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartsInventoryViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift,Cancel,Отмена,キャンセル,no
Cancel Export?,catalog/manual,Cancel Export?,Отменить экспорт?,エクスポートをキャンセルしますか？,no
Cancel anytime. No hidden fees.,iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift,Cancel anytime. No hidden fees.,Отмена в любое время. Без скрытых платежей.,いつでも解約できます。追加手数料はありません。,no
Car Dealer Tracker,iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ForceUpdateView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/iPadRootView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/BackupExportManager.swift,Car Dealer Tracker,Car Dealer Tracker,Car Dealer Tracker,yes
Car Dealer Tracker v%@ (%@),catalog/manual,Car Dealer Tracker v%1$@ (%2$@),Car Dealer Tracker v%1$@ (%2$@),Car Dealer Tracker v%1$@ (%2$@),yes
Cars,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift,Cars,Авто,車両,yes
Cash,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/FinancialAccount+Extensions.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ReceivePartStockView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddVehicleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Cash,Наличные,現金,yes
Change Photo,iOS Car Dealer Tracker/Ezcar24Business/Views/EditProfileView.swift,Change Photo,Изменить фото,写真を変更,no
"Check %@. Depending on your account security settings, you may need to confirm the change from both your current and new email addresses.",catalog/manual,"Check %@. Depending on your account security settings, you may need to confirm the change from both your current and new email addresses.",Проверьте %@. В зависимости от настроек безопасности аккаунта может потребоваться подтверждение с текущего и нового email.,"Check %@. Depending on your account security settings, you may need to confirm the change from both your current and new email addresses.",yes
Checking session…,iOS Car Dealer Tracker/Ezcar24Business/Auth/AuthGateView.swift,Checking session…,Проверка сессии…,セッションを確認中…,no
Cheque,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtPaymentView.swift,Cheque,Чек,小切手,no
Choose a database...,catalog/manual,Choose a database...,Выберите базу данных...,データベースを選択...,no
Cleaning duplicates…,catalog/manual,Cleaning duplicates…,Удаление дубликатов…,重複を整理中…,no
Client Details,iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift,Client Details,Детали клиента,顧客詳細,no
Clients,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ClientViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/GlobalSearchView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/BackupCenterView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/BackupExportManager.swift,Clients,Клиенты,顧客,no
Close,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Components/DashboardComponents.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/LeadStage.swift,Close,Закрыть,閉じる,no
Comment,iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseDetailSheet.swift,Comment,Комментарий,コメント,no
Complete Contact Info,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Complete Contact Info,Заполните контактные данные,連絡先情報を完了,no
Completed,iOS Car Dealer Tracker/Ezcar24Business/Models/ClientReminder+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Client+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/LocalNotificationManager.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Completed,Завершено,完了,no
Confirm,iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/PasswordResetView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/MonthlyReportSupport.swift,Confirm,Подтвердить,確認,no
Confirm Password,iOS Car Dealer Tracker/Ezcar24Business/Auth/PasswordResetView.swift,Confirm Password,Подтвердить пароль,パスワードを確認,no
Confirmation,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/MonthlyReportSupport.swift,Confirmation,Подтверждение,確認,no
Connect,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/AuthGateView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Connect,Подключить,接続,no
Consumption Tax (10%),iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift,Consumption Tax (10%),Потребительский налог (10%),消費税（10%）,yes
Continue Exporting,catalog/manual,Continue Exporting,Продолжить экспорт,エクスポートを続行,no
Continue as Guest,iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift,Continue as Guest,Продолжить как гость,ゲストとして続行,no
Copied,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift,Copied,Скопировано,コピーしました,no
